model,base,final
GPT-3.5 Turbo,0.10032785142078522,0.145802675546406
GPT-4 Turbo,0.20381357869311537,0.39291334738031686
Llama 2 7B Chat,0.08752799564654223,0.13584366822174912
Llama 2 7B Chat (fp16),0.043790689910840105,0.06972779014818656
Llama 2 7B Chat (AWQ),0.06252124003335471,0.0542875044754744
Llama 2 13B Chat,0.019536755761245556,0.05060513370009937
Llama 2 13B Chat (fp16),0.01894272162153508,0.04457418516085819
Llama 2 13B Chat (AWQ),0.01853789948730965,0.02990774539754872
CodeLlama 13B Instruct,0.02798707591815299,0.07079563015897819
Mistral 7B Instruct,0.08207784192542049,0.11396244233772837
Vicuna 13B,0.18445113954516493,0.2463406270441779
