model,base,final
GPT-3.5 Turbo,0.6841933001638885,0.7157415080584347
GPT-4 Turbo,0.6923448773448773,0.788292929292929
Llama 2 7B Chat,0.5932235520470814,0.5462126820724106
Llama 2 7B Chat (fp16),0.49641226872140504,0.47419787728611257
Llama 2 7B Chat (AWQ),0.42146277635408064,0.5035657677989611
Llama 2 13B Chat,0.5622953510408492,0.6010339707950001
Llama 2 13B Chat (fp16),0.5301418380065628,0.5925831364521174
Llama 2 13B Chat (AWQ),0.5516921667656961,0.5435445545702319
CodeLlama 13B Instruct,0.5577568265068265,0.6795725108225108
Mistral 7B Instruct,0.5305698290559882,0.7321966665454062
Vicuna 13B,0.4595536620242502,0.5352373086395642
